Customer_ID,Quarter,Segment,Plan,Status,MRR_INR,Tenure_Months,Seats,Usage_Pct,CSAT,Industry,Churn_Reason,Onboarding_Type,Support_Tickets,Region
23,Q1,Enterprise,Growth,Churned,10764,5,25,39,4.2,SaaS,Missing features,Assisted,6,North
24,Q1,Mid-Market,Growth,Active,16646,12,7,73,8.3,Logistics,Not Applicable,Self-serve,2,North
25,Q1,Enterprise,Enterprise,Churned,53122,4,27,17,5.7,Manufacturing,Missing features,Enterprise CSM,6,North
26,Q1,Enterprise,Enterprise,Active,33049,30,52,45,8.2,Healthcare,Not Applicable,Enterprise CSM,3,East
27,Q1,Mid-Market,Growth,Active,10354,4,16,61,9.0,Healthcare,Not Applicable,Assisted,2,East
28,Q1,Enterprise,Enterprise,Paused,63115,24,158,29,5.6,Ecommerce,Not Applicable,Self-serve,4,North
29,Q1,Enterprise,Enterprise,Churned,68494,17,88,5,3.4,Ecommerce,Price,Enterprise CSM,3,South
30,Q1,Enterprise,Enterprise,Trial,53587,17,177,31,6.6,EdTech,Not Applicable,Enterprise CSM,3,East
31,Q1,SMB,Starter,Active,2799,36,6,66,9.0,Logistics,Not Applicable,Self-serve,2,South
32,Q1,Enterprise,Enterprise,Active,41238,21,43,74,7.0,Manufacturing,Not Applicable,Enterprise CSM,3,East
33,Q1,Mid-Market,Starter,Active,4429,16,7,71,8.5,EdTech,Not Applicable,Self-serve,1,West
34,Q1,SMB,Starter,Churned,4217,9,7,19,4.9,SaaS,Competitor,Self-serve,10,North
35,Q1,Enterprise,Enterprise,Active,49162,36,187,67,6.6,EdTech,Not Applicable,Enterprise CSM,5,South
36,Q1,Enterprise,Growth,Active,15903,15,29,37,8.6,Healthcare,Not Applicable,Self-serve,5,East
37,Q1,SMB,Starter,Trial,3470,8,4,27,8.0,Ecommerce,Not Applicable,Self-serve,0,North
38,Q1,Enterprise,Growth,Active,18631,27,7,51,6.7,EdTech,Not Applicable,Self-serve,1,East
39,Q1,SMB,Starter,Active,3711,14,10,70,6.2,Manufacturing,Not Applicable,Self-serve,5,East
40,Q1,SMB,Starter,Active,2384,21,3,63,7.4,Ecommerce,Not Applicable,Self-serve,5,West
41,Q1,Enterprise,Enterprise,Trial,34294,18,128,50,6.9,EdTech,Not Applicable,Enterprise CSM,5,East
42,Q1,Enterprise,Enterprise,Active,52648,26,175,49,6.5,Healthcare,Not Applicable,Enterprise CSM,2,South
43,Q1,Mid-Market,Enterprise,Active,48210,19,110,60,7.2,Fintech,Not Applicable,Enterprise CSM,6,North
44,Q1,SMB,Growth,Active,18687,23,39,59,7.2,Ecommerce,Not Applicable,Assisted,5,North
45,Q1,SMB,Starter,Active,2339,27,3,63,8.8,Logistics,Not Applicable,Self-serve,5,North
46,Q1,SMB,Starter,Active,4174,18,2,41,8.9,EdTech,Not Applicable,Self-serve,5,West
47,Q1,Enterprise,Enterprise,Active,73491,21,95,71,8.9,Ecommerce,Not Applicable,Enterprise CSM,2,North
48,Q1,Enterprise,Growth,Active,17349,27,27,61,8.5,Logistics,Not Applicable,Assisted,3,South
49,Q1,SMB,Growth,Trial,17999,13,28,45,7.2,Healthcare,Not Applicable,Assisted,2,South
50,Q1,SMB,Enterprise,Active,37790,11,172,56,7.6,SaaS,Not Applicable,Enterprise CSM,3,South
51,Q1,Mid-Market,Growth,Active,16855,19,38,53,7.2,EdTech,Not Applicable,Self-serve,2,West
52,Q1,Mid-Market,Growth,Active,18685,33,13,56,6.9,Manufacturing,Not Applicable,Self-serve,1,South
53,Q1,SMB,Starter,Active,3232,13,4,70,7.5,Manufacturing,Not Applicable,Self-serve,4,East
54,Q1,Enterprise,Enterprise,Paused,72125,26,119,40,6.0,EdTech,Not Applicable,Enterprise CSM,3,West
55,Q1,SMB,Starter,Active,4235,13,7,73,6.8,Ecommerce,Not Applicable,Self-serve,1,South
56,Q1,Mid-Market,Enterprise,Churned,66027,35,50,11,4.7,EdTech,Missing features,Enterprise CSM,11,East
57,Q1,Enterprise,Growth,Trial,17663,3,27,26,6.7,Manufacturing,Not Applicable,Unknown,1,South
58,Q1,SMB,Starter,Paused,4912,20,8,37,5.5,SaaS,Not Applicable,Self-serve,4,East
59,Q1,SMB,Growth,Active,19068,23,20,53,6.9,Media,Not Applicable,Self-serve,5,South
60,Q1,SMB,Growth,Active,8044,30,37,59,6.1,SaaS,Not Applicable,Assisted,5,West
61,Q1,Mid-Market,Growth,Active,9295,26,10,53,6.4,Media,Not Applicable,Self-serve,5,North
62,Q1,Enterprise,Enterprise,Active,68287,25,195,66,6.6,Healthcare,Not Applicable,Enterprise CSM,5,North
63,Q1,Enterprise,Enterprise,Paused,50053,3,92,53,7.9,Logistics,Not Applicable,Enterprise CSM,2,South
64,Q1,Mid-Market,Starter,Active,3969,7,4,59,8.0,Ecommerce,Not Applicable,Self-serve,4,North
65,Q1,Enterprise,Enterprise,Active,37114,29,199,63,7.0,EdTech,Not Applicable,Enterprise CSM,1,North
66,Q1,Mid-Market,Starter,Active,4839,5,7,44,7.1,SaaS,Not Applicable,Self-serve,2,East
67,Q1,Enterprise,Enterprise,Active,35996,12,48,38,8.8,Media,Not Applicable,Enterprise CSM,1,South
68,Q1,Enterprise,Enterprise,Churned,43011,4,37,25,5.9,SaaS,Missing features,Enterprise CSM,12,West
69,Q1,SMB,Starter,Active,2627,29,8,44,7.5,SaaS,Not Applicable,Self-serve,5,South
70,Q1,SMB,Enterprise,Trial,76673,33,96,37,6.6,Healthcare,Not Applicable,Enterprise CSM,1,South
71,Q1,Mid-Market,Growth,Paused,11537,27,10,37,6.9,Logistics,Not Applicable,Self-serve,3,West
72,Q1,Enterprise,Enterprise,Active,54085,21,56,48,8.9,SaaS,Not Applicable,Enterprise CSM,2,North
73,Q1,Mid-Market,Growth,Trial,19332,32,45,18,6.8,EdTech,Not Applicable,Self-serve,3,South
74,Q1,Enterprise,Enterprise,Active,43378,23,119,37,8.8,Ecommerce,Not Applicable,Enterprise CSM,3,South
75,Q1,Mid-Market,Growth,Churned,12795,5,48,29,6.9,Logistics,Missing features,Self-serve,6,East
76,Q1,SMB,Starter,Active,3676,16,5,50,7.6,Ecommerce,Not Applicable,Self-serve,4,East
77,Q1,Mid-Market,Enterprise,Churned,30406,6,119,9,4.8,Healthcare,Price,Enterprise CSM,10,West
78,Q1,SMB,Starter,Active,3250,34,3,62,7.2,Logistics,Not Applicable,Self-serve,6,West
79,Q1,Enterprise,Starter,Trial,3792,16,2,17,5.8,Logistics,Not Applicable,Self-serve,1,North
80,Q1,Enterprise,Enterprise,Active,42694,2,144,49,7.0,EdTech,Not Applicable,Enterprise CSM,3,South
81,Q1,Enterprise,Enterprise,Active,52274,18,199,66,6.4,Media,Not Applicable,Enterprise CSM,1,South
82,Q1,SMB,Starter,Trial,3607,12,7,40,6.9,Media,Not Applicable,Self-serve,2,East
83,Q1,Mid-Market,Enterprise,Active,52520,36,155,55,7.4,Media,Not Applicable,Enterprise CSM,0,North
84,Q1,Mid-Market,Starter,Churned,2547,18,6,36,3.9,Logistics,Poor UX,Self-serve,5,East
85,Q1,Enterprise,Enterprise,Active,15075,36,49,48,7.4,EdTech,Not Applicable,Enterprise CSM,4,North
86,Q1,SMB,Growth,Active,14203,13,14,46,7.2,SaaS,Not Applicable,Assisted,6,West
87,Q1,Mid-Market,Growth,Churned,9669,35,34,8,3.0,Manufacturing,Missing features,Assisted,10,East
88,Q1,Mid-Market,Growth,Active,17731,25,11,44,6.6,SaaS,Not Applicable,Assisted,6,East
89,Q1,Mid-Market,Starter,Paused,3762,29,9,19,6.4,Manufacturing,Not Applicable,Unknown,2,East
90,Q1,Enterprise,Growth,Active,19691,24,5,56,8.3,Manufacturing,Not Applicable,Assisted,1,North
91,Q1,Mid-Market,Growth,Churned,14759,19,39,19,5.2,Media,No response,Assisted,7,South
92,Q1,Mid-Market,Enterprise,Active,45559,6,86,53,6.6,Manufacturing,Not Applicable,Enterprise CSM,3,East
93,Q1,Mid-Market,Growth,Trial,12347,33,37,32,7.3,EdTech,Not Applicable,Self-serve,4,South
94,Q1,Enterprise,Starter,Active,4584,5,5,70,8.7,Logistics,Not Applicable,Self-serve,4,West
95,Q1,Enterprise,Enterprise,Active,52934,34,187,62,6.9,Media,Not Applicable,Enterprise CSM,1,West
96,Q1,Enterprise,Enterprise,Churned,37236,25,24,34,3.9,Ecommerce,Missing features,Enterprise CSM,7,South
97,Q1,SMB,Starter,Paused,2560,29,6,18,5.2,Ecommerce,Not Applicable,Self-serve,5,West
98,Q1,Mid-Market,Growth,Active,18547,17,5,48,6.2,Manufacturing,Not Applicable,Assisted,4,North
99,Q1,Mid-Market,Growth,Active,9262,14,36,63,6.0,Healthcare,Not Applicable,Assisted,3,West
100,Q1,SMB,Growth,Churned,9069,3,13,23,4.5,Media,Competitor,Unknown,6,South
101,Q1,Enterprise,Enterprise,Active,47148,17,175,40,6.9,Ecommerce,Not Applicable,Enterprise CSM,2,North
102,Q1,Enterprise,Starter,Active,3587,27,10,42,7.5,Ecommerce,Not Applicable,Self-serve,3,East
103,Q1,Enterprise,Enterprise,Active,68198,34,162,43,8.1,Ecommerce,Not Applicable,Self-serve,4,West
104,Q1,Mid-Market,Enterprise,Active,74196,17,35,51,7.3,SaaS,Not Applicable,Enterprise CSM,4,South
105,Q1,SMB,Starter,Active,4182,9,10,68,7.0,EdTech,Not Applicable,Self-serve,1,West
106,Q1,SMB,Growth,Churned,12893,23,12,14,3.4,Fintech,No response,Self-serve,13,East
107,Q1,Mid-Market,Growth,Active,9382,33,48,63,8.2,Ecommerce,Not Applicable,Assisted,1,East
108,Q1,Enterprise,Enterprise,Churned,39756,31,126,36,5.6,Healthcare,Missing features,Self-serve,11,South
109,Q1,Mid-Market,Growth,Churned,19739,3,22,29,5.7,Fintech,Poor UX,Self-serve,9,East
110,Q1,Enterprise,Enterprise,Active,40357,18,84,38,8.8,Media,Not Applicable,Enterprise CSM,5,East
111,Q1,Enterprise,Growth,Active,14420,32,49,57,7.4,Media,Not Applicable,Self-serve,2,North
112,Q1,Mid-Market,Growth,Active,14041,14,41,67,7.7,Manufacturing,Not Applicable,Self-serve,4,West
113,Q1,SMB,Starter,Paused,4581,22,8,53,7.1,Logistics,Not Applicable,Self-serve,2,South
114,Q1,SMB,Growth,Churned,13282,31,12,37,4.5,Manufacturing,Price,Self-serve,9,South
115,Q1,Mid-Market,Growth,Active,13305,27,21,47,6.2,Healthcare,Not Applicable,Self-serve,3,South
116,Q1,Enterprise,Enterprise,Churned,44967,4,99,26,3.6,Logistics,Price,Enterprise CSM,9,South
117,Q1,Enterprise,Growth,Active,15604,28,34,51,7.8,Healthcare,Not Applicable,Assisted,1,South
118,Q1,Mid-Market,Growth,Active,11764,20,44,40,6.3,Manufacturing,Not Applicable,Self-serve,4,South
119,Q1,Enterprise,Enterprise,Paused,62881,17,146,22,7.3,EdTech,Not Applicable,Enterprise CSM,1,North
120,Q1,SMB,Starter,Churned,3452,22,3,32,4.8,EdTech,Missing features,Self-serve,6,East
121,Q1,Mid-Market,Growth,Trial,13566,17,48,50,7.4,Manufacturing,Not Applicable,Assisted,1,East
122,Q1,SMB,Starter,Paused,4936,18,4,34,6.1,Logistics,Not Applicable,Self-serve,4,West
123,Q1,SMB,Starter,Active,2963,29,8,70,7.0,Logistics,Not Applicable,Unknown,4,North
124,Q1,Enterprise,Enterprise,Active,46635,27,167,67,6.9,EdTech,Not Applicable,Self-serve,1,South
125,Q1,SMB,Growth,Trial,14975,17,38,25,6.9,SaaS,Not Applicable,Assisted,4,East
126,Q1,Enterprise,Enterprise,Trial,30445,3,131,24,7.0,Logistics,Not Applicable,Enterprise CSM,3,South
127,Q1,Enterprise,Enterprise,Active,35551,6,138,63,6.0,Fintech,Not Applicable,Enterprise CSM,2,East
128,Q1,SMB,Starter,Active,4902,5,5,64,7.6,Manufacturing,Not Applicable,Self-serve,4,North
129,Q1,SMB,Growth,Active,9119,9,14,36,8.4,Manufacturing,Not Applicable,Self-serve,4,South
130,Q1,SMB,Starter,Active,2286,2,8,66,6.9,Manufacturing,Not Applicable,Self-serve,3,North
131,Q1,Enterprise,Enterprise,Active,54117,32,59,54,8.1,Fintech,Not Applicable,Enterprise CSM,2,North
132,Q1,Mid-Market,Growth,Paused,12272,11,34,40,7.0,Healthcare,Not Applicable,Assisted,5,West
133,Q1,SMB,Growth,Trial,9930,25,33,19,7.5,Fintech,Not Applicable,Self-serve,2,East
134,Q1,Mid-Market,Growth,Trial,18416,25,8,25,5.8,SaaS,Not Applicable,Assisted,5,East
135,Q1,Enterprise,Enterprise,Paused,60336,9,184,27,7.3,EdTech,Not Applicable,Enterprise CSM,6,East
136,Q1,Enterprise,Starter,Churned,4913,22,2,8,6.0,SaaS,Missing features,Self-serve,11,West
137,Q1,Enterprise,Enterprise,Active,69358,6,107,65,6.1,Ecommerce,Not Applicable,Enterprise CSM,5,West
138,Q1,SMB,Enterprise,Paused,74600,7,36,39,7.9,Fintech,Not Applicable,Enterprise CSM,1,South
139,Q1,Enterprise,Enterprise,Active,65720,10,38,71,9.0,EdTech,Not Applicable,Enterprise CSM,2,East
140,Q1,Enterprise,Enterprise,Churned,65559,28,110,9,3.5,Fintech,Competitor,Enterprise CSM,15,South
141,Q1,Mid-Market,Enterprise,Active,37352,13,107,48,8.6,SaaS,Not Applicable,Enterprise CSM,2,East
142,Q1,Mid-Market,Growth,Active,13693,20,6,60,8.5,EdTech,Not Applicable,Self-serve,5,North
143,Q1,SMB,Growth,Churned,9233,34,33,28,4.6,Ecommerce,Competitor,Self-serve,10,East
144,Q1,Mid-Market,Enterprise,Active,52484,27,29,42,7.0,Media,Not Applicable,Enterprise CSM,4,North
145,Q1,Mid-Market,Starter,Active,3863,6,3,50,7.2,Manufacturing,Not Applicable,Self-serve,3,South
146,Q1,SMB,Growth,Active,17043,31,41,52,7.1,Manufacturing,Not Applicable,Assisted,6,West
147,Q1,SMB,Growth,Active,17211,6,23,74,8.6,Ecommerce,Not Applicable,Self-serve,0,North
148,Q1,Enterprise,Growth,Active,13039,7,9,67,6.8,Fintech,Not Applicable,Self-serve,1,North
149,Q1,SMB,Starter,Active,3580,11,1,43,6.8,Ecommerce,Not Applicable,Self-serve,6,North
150,Q1,SMB,Growth,Active,16185,20,31,62,6.3,Media,Not Applicable,Self-serve,3,South
151,Q1,Mid-Market,Enterprise,Trial,75747,15,25,51,7.7,EdTech,Not Applicable,Unknown,4,East
152,Q1,Mid-Market,Starter,Active,4591,24,9,36,7.5,Healthcare,Not Applicable,Self-serve,3,South
153,Q1,Mid-Market,Growth,Active,16009,8,6,55,7.1,Logistics,Not Applicable,Self-serve,1,East
154,Q1,Enterprise,Enterprise,Active,30571,15,42,63,7.1,Manufacturing,Not Applicable,Enterprise CSM,4,East
155,Q1,Enterprise,Enterprise,Churned,41368,26,152,16,5.5,Manufacturing,Poor UX,Self-serve,15,South
156,Q1,SMB,Growth,Paused,16166,4,30,27,6.9,Logistics,Not Applicable,Self-serve,5,East
157,Q1,Mid-Market,Growth,Active,10892,17,37,70,8.2,EdTech,Not Applicable,Self-serve,0,North
158,Q1,SMB,Growth,Active,16706,3,31,44,8.7,Manufacturing,Not Applicable,Assisted,0,North
159,Q1,SMB,Growth,Churned,17984,32,37,6,3.3,SaaS,Missing features,Self-serve,11,South
160,Q1,Mid-Market,Enterprise,Paused,51878,25,119,27,7.7,Manufacturing,Not Applicable,Enterprise CSM,5,West
161,Q1,SMB,Starter,Paused,4178,20,5,51,6.8,EdTech,Not Applicable,Self-serve,0,East
162,Q1,SMB,Starter,Paused,2143,11,3,43,7.8,Ecommerce,Not Applicable,Self-serve,3,North
163,Q1,SMB,Growth,Active,13217,3,11,57,7.6,Manufacturing,Not Applicable,Self-serve,4,East
164,Q1,SMB,Starter,Paused,3845,4,4,43,5.5,Manufacturing,Not Applicable,Self-serve,5,West
165,Q1,SMB,Starter,Trial,4788,14,4,43,7.3,EdTech,Not Applicable,Self-serve,4,South
166,Q1,Mid-Market,Growth,Churned,19092,32,11,12,6.0,SaaS,Missing features,Self-serve,13,North
167,Q1,Mid-Market,Growth,Active,10352,23,34,43,8.1,Logistics,Not Applicable,Assisted,4,East
168,Q1,Mid-Market,Enterprise,Active,75150,18,43,73,7.8,Logistics,Not Applicable,Enterprise CSM,4,West
169,Q1,Enterprise,Enterprise,Active,50095,9,139,50,8.4,SaaS,Not Applicable,Enterprise CSM,2,East
170,Q1,SMB,Starter,Active,3846,11,2,68,7.5,Logistics,Not Applicable,Self-serve,2,North
171,Q1,SMB,Starter,Active,4949,23,1,67,8.2,Logistics,Not Applicable,Self-serve,5,East
172,Q1,SMB,Starter,Paused,4174,34,9,46,7.0,Manufacturing,Not Applicable,Self-serve,2,East
173,Q1,Enterprise,Enterprise,Active,50332,15,157,41,8.2,EdTech,Not Applicable,Enterprise CSM,5,East
174,Q1,SMB,Starter,Active,3849,11,9,66,7.9,Healthcare,Not Applicable,Self-serve,3,West
175,Q1,SMB,Starter,Active,3611,11,1,52,7.5,Healthcare,Not Applicable,Self-serve,6,West
176,Q1,Mid-Market,Starter,Active,2054,3,9,72,8.5,Manufacturing,Not Applicable,Self-serve,2,East
177,Q1,Mid-Market,Growth,Trial,12597,18,25,49,6.4,Healthcare,Not Applicable,Unknown,2,North
178,Q1,SMB,Growth,Active,16900,25,34,74,8.1,Ecommerce,Not Applicable,Self-serve,2,North
179,Q1,Mid-Market,Growth,Active,17071,6,32,35,6.9,Logistics,Not Applicable,Assisted,4,West
180,Q1,Mid-Market,Enterprise,Active,32782,5,144,36,8.2,Manufacturing,Not Applicable,Self-serve,0,West
181,Q1,SMB,Starter,Active,2257,18,5,74,6.9,Fintech,Not Applicable,Self-serve,2,West
182,Q1,Mid-Market,Starter,Active,2756,6,5,69,7.8,Healthcare,Not Applicable,Self-serve,0,South
183,Q1,Enterprise,Enterprise,Trial,44994,4,23,27,6.9,Manufacturing,Not Applicable,Enterprise CSM,6,North
184,Q1,Mid-Market,Enterprise,Active,78505,8,37,40,7.9,Logistics,Not Applicable,Enterprise CSM,3,West
185,Q1,Mid-Market,Growth,Paused,19950,31,33,54,5.5,Media,Not Applicable,Self-serve,5,South
186,Q1,Mid-Market,Growth,Active,17206,18,47,68,8.6,Manufacturing,Not Applicable,Self-serve,2,East
187,Q1,Enterprise,Enterprise,Churned,66158,33,149,29,3.3,Fintech,Missing features,Enterprise CSM,14,North
188,Q1,SMB,Starter,Active,4733,6,3,43,8.4,Manufacturing,Not Applicable,Self-serve,6,North
189,Q1,Enterprise,Starter,Churned,2860,7,6,9,5.8,SaaS,Price,Self-serve,8,West
190,Q1,Mid-Market,Enterprise,Active,54255,9,145,72,8.5,SaaS,Not Applicable,Enterprise CSM,4,West
191,Q1,Mid-Market,Enterprise,Churned,57763,10,85,25,4.8,Healthcare,No response,Self-serve,13,East
192,Q1,SMB,Starter,Active,4078,31,5,66,8.7,Ecommerce,Not Applicable,Self-serve,1,South
193,Q1,Enterprise,Growth,Paused,11550,14,14,47,5.0,SaaS,Not Applicable,Assisted,2,West
194,Q1,Mid-Market,Enterprise,Active,71102,29,145,37,8.6,Media,Not Applicable,Enterprise CSM,1,North
195,Q1,SMB,Growth,Active,8837,30,49,70,7.4,SaaS,Not Applicable,Self-serve,3,East
196,Q1,Enterprise,Growth,Trial,17069,17,42,19,5.6,Manufacturing,Not Applicable,Self-serve,2,West
197,Q1,Mid-Market,Enterprise,Active,39591,23,181,42,7.0,SaaS,Not Applicable,Enterprise CSM,3,West
198,Q1,Mid-Market,Enterprise,Churned,43548,36,180,26,4.3,SaaS,Poor UX,Enterprise CSM,13,North
199,Q1,Enterprise,Enterprise,Active,63092,6,61,57,6.9,EdTech,Not Applicable,Enterprise CSM,0,North
200,Q1,SMB,Starter,Active,3227,20,3,38,7.5,Logistics,Not Applicable,Self-serve,4,South
201,Q1,Enterprise,Growth,Active,16386,30,31,41,6.9,Manufacturing,Not Applicable,Self-serve,2,West
202,Q1,Mid-Market,Growth,Active,19128,30,16,52,6.4,Manufacturing,Not Applicable,Self-serve,5,South
203,Q1,Enterprise,Starter,Active,4960,34,8,63,8.6,SaaS,Not Applicable,Self-serve,5,North
204,Q1,Enterprise,Growth,Active,16199,25,26,72,7.7,Healthcare,Not Applicable,Assisted,5,East
205,Q1,SMB,Starter,Active,2890,29,3,54,6.6,Logistics,Not Applicable,Self-serve,2,North
206,Q1,SMB,Enterprise,Active,60275,17,168,61,6.9,Healthcare,Not Applicable,Enterprise CSM,5,West
207,Q1,Mid-Market,Enterprise,Churned,64665,30,42,5,3.1,Fintech,Budget cut,Enterprise CSM,8,North
208,Q1,Enterprise,Enterprise,Active,61254,21,123,58,7.2,Healthcare,Not Applicable,Self-serve,1,South
209,Q1,SMB,Starter,Churned,3232,14,3,16,6.0,Manufacturing,Price,Self-serve,11,South
210,Q1,SMB,Starter,Paused,3551,15,3,38,6.3,Fintech,Not Applicable,Self-serve,1,West
211,Q1,Enterprise,Growth,Active,19775,29,27,45,7.2,SaaS,Not Applicable,Assisted,2,North
212,Q1,SMB,Starter,Active,4333,10,8,63,8.5,Healthcare,Not Applicable,Self-serve,2,North
213,Q1,Enterprise,Enterprise,Active,43047,18,174,71,6.3,Logistics,Not Applicable,Enterprise CSM,5,West
214,Q1,Enterprise,Enterprise,Active,70236,3,105,58,7.6,Healthcare,Not Applicable,Enterprise CSM,4,West
215,Q1,Enterprise,Enterprise,Trial,79865,19,172,46,5.2,Healthcare,Not Applicable,Enterprise CSM,6,East
216,Q1,Mid-Market,Enterprise,Trial,32346,21,28,30,6.5,Fintech,Not Applicable,Enterprise CSM,2,West
217,Q1,SMB,Starter,Active,2352,29,4,46,8.6,Media,Not Applicable,Self-serve,1,East
218,Q1,Mid-Market,Starter,Active,2021,34,1,37,6.4,Manufacturing,Not Applicable,Self-serve,3,North
219,Q1,Mid-Market,Growth,Trial,11532,21,11,17,5.3,Logistics,Not Applicable,Assisted,4,East
220,Q1,SMB,Starter,Active,3740,31,8,74,6.9,Fintech,Not Applicable,Self-serve,3,West
221,Q1,Enterprise,Growth,Active,16126,7,49,40,6.6,EdTech,Not Applicable,Self-serve,2,West
222,Q1,Mid-Market,Starter,Churned,4457,16,5,18,4.8,Healthcare,Price,Self-serve,9,South
223,Q1,Mid-Market,Growth,Active,12682,27,37,71,8.1,Ecommerce,Not Applicable,Assisted,1,East
224,Q1,SMB,Growth,Churned,11076,34,32,9,4.9,SaaS,Price,Assisted,7,East
225,Q1,Mid-Market,Growth,Active,16695,11,22,65,6.9,Media,Not Applicable,Self-serve,5,South
226,Q1,Mid-Market,Growth,Churned,8112,31,38,14,4.4,Fintech,Poor UX,Assisted,9,South
227,Q1,Mid-Market,Growth,Paused,14750,24,35,50,5.4,Healthcare,Not Applicable,Assisted,0,South
228,Q1,SMB,Starter,Active,4281,11,9,54,7.7,Manufacturing,Not Applicable,Self-serve,1,East
229,Q1,SMB,Starter,Active,3313,9,6,58,7.9,EdTech,Not Applicable,Self-serve,3,North
230,Q1,Enterprise,Growth,Active,18193,24,32,52,6.3,Ecommerce,Not Applicable,Self-serve,2,North
231,Q1,Enterprise,Enterprise,Active,60349,34,199,50,6.9,Media,Not Applicable,Enterprise CSM,2,West
232,Q1,Enterprise,Enterprise,Active,39916,26,185,72,7.0,Logistics,Not Applicable,Enterprise CSM,0,East
233,Q1,Enterprise,Growth,Active,11907,12,13,65,6.1,Ecommerce,Not Applicable,Assisted,3,North
234,Q1,Mid-Market,Starter,Active,2491,33,6,67,8.5,Healthcare,Not Applicable,Self-serve,1,West
235,Q1,Mid-Market,Starter,Active,3277,12,3,41,8.4,SaaS,Not Applicable,Self-serve,1,North
236,Q1,Mid-Market,Enterprise,Active,67567,22,66,69,6.5,Fintech,Not Applicable,Enterprise CSM,4,North
237,Q1,SMB,Starter,Active,4510,33,8,42,6.9,Media,Not Applicable,Self-serve,0,West
238,Q1,Enterprise,Enterprise,Churned,43303,16,87,15,4.9,EdTech,Poor UX,Enterprise CSM,15,North
239,Q1,Enterprise,Enterprise,Churned,73103,8,25,6,5.2,Healthcare,Competitor,Enterprise CSM,5,South
240,Q1,Mid-Market,Enterprise,Churned,57204,22,66,8,3.4,Manufacturing,Price,Enterprise CSM,7,North
241,Q2,Enterprise,Enterprise,Active,34143,8,22,38,8.7,EdTech,Not Applicable,Self-serve,5,East
242,Q2,Mid-Market,Starter,Active,3263,18,4,59,8.0,SaaS,Not Applicable,Self-serve,4,South
243,Q2,SMB,Growth,Active,8943,28,15,64,7.7,Manufacturing,Not Applicable,Self-serve,0,East
244,Q2,Enterprise,Enterprise,Active,37895,31,193,36,6.4,EdTech,Not Applicable,Enterprise CSM,1,West
245,Q2,Enterprise,Enterprise,Active,32897,11,39,56,9.0,Healthcare,Not Applicable,Enterprise CSM,1,South
246,Q2,Enterprise,Enterprise,Active,65416,23,143,69,8.0,Ecommerce,Not Applicable,Enterprise CSM,2,East
247,Q2,Mid-Market,Enterprise,Active,49436,19,57,47,6.7,Ecommerce,Not Applicable,Enterprise CSM,1,East
248,Q2,Enterprise,Enterprise,Active,69205,21,139,44,7.4,Manufacturing,Not Applicable,Self-serve,4,South
